DARZ_ID;SCHOOL_NAME;TYPE_ID;TYPE_LABEL;LAN_ID;LAN_LABEL;CHILDS_COUNT;FREE_SPACE
31;Aitvaras;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;33;0
31;Aitvaras;6;"Nuo 3 iki 4 metų";1;Lietuvių;30;0
31;Aitvaras;7;"Nuo 4 iki 5 metų";1;Lietuvių;23;0
31;Aitvaras;8;"Nuo 5 iki 6 metų";1;Lietuvių;23;0
31;Aitvaras;11;"Nuo 5 iki 7 metų";1;Lietuvių;46;1
31;Aitvaras;12;"Nuo 2 iki 3 metų";1;Lietuvių;15;0
31;Aitvaras;13;"Nuo 4 iki 6 metų";1;Lietuvių;24;0
31;Aitvaras;14;"Nuo 3 iki 6 metų";1;Lietuvių;2;0
31;Aitvaras;18;"Nuo 2 iki 4 metų";1;Lietuvių;133;0
31;Aitvaras;25;"Nuo 1,5 iki 7 metų";1;Lietuvių;0;0
32;Atžalėlės;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;97;6
32;Atžalėlės;4;"Nuo 3 iki 7 metų";1;Lietuvių;23;0
32;Atžalėlės;6;"Nuo 3 iki 4 metų";1;Lietuvių;46;7
32;Atžalėlės;7;"Nuo 4 iki 5 metų";1;Lietuvių;26;1
32;Atžalėlės;8;"Nuo 5 iki 6 metų";1;Lietuvių;25;0
32;Atžalėlės;9;"Nuo 6 iki 7 metų";1;Lietuvių;3;2
32;Atžalėlės;11;"Nuo 5 iki 7 metų";1;Lietuvių;24;0
32;Atžalėlės;20;"Nuo 2 iki 6 metų";1;Lietuvių;17;2
32;Atžalėlės;28;"Nuo 1 iki 7 metų";1;Lietuvių;0;0
33;Aušrelė;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;82;0
33;Aušrelė;6;"Nuo 3 iki 4 metų";1;Lietuvių;3;1
33;Aušrelė;7;"Nuo 4 iki 5 metų";1;Lietuvių;54;0
33;Aušrelė;8;"Nuo 5 iki 6 metų";1;Lietuvių;22;0
33;Aušrelė;9;"Nuo 6 iki 7 metų";1;Lietuvių;1;0
33;Aušrelė;11;"Nuo 5 iki 7 metų";1;Lietuvių;43;0
33;Aušrelė;12;"Nuo 2 iki 3 metų";1;Lietuvių;4;0
33;Aušrelė;18;"Nuo 2 iki 4 metų";1;Lietuvių;70;0
34;Beržynėlis;1;"Iki 1,5 metų";1;Lietuvių;15;0
34;Beržynėlis;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;36;0
34;Beržynėlis;6;"Nuo 3 iki 4 metų";1;Lietuvių;20;0
34;Beržynėlis;7;"Nuo 4 iki 5 metų";1;Lietuvių;19;0
34;Beržynėlis;8;"Nuo 5 iki 6 metų";1;Lietuvių;18;0
34;Beržynėlis;9;"Nuo 6 iki 7 metų";1;Lietuvių;3;0
34;Beržynėlis;11;"Nuo 5 iki 7 metų";1;Lietuvių;26;0
34;Beržynėlis;13;"Nuo 4 iki 6 metų";1;Lietuvių;3;3
36;Birutės;6;"Nuo 3 iki 4 metų";1;Lietuvių;4;0
36;Birutės;7;"Nuo 4 iki 5 metų";1;Lietuvių;24;0
36;Birutės;8;"Nuo 5 iki 6 metų";1;Lietuvių;23;0
36;Birutės;9;"Nuo 6 iki 7 metų";1;Lietuvių;1;1
36;Birutės;11;"Nuo 5 iki 7 metų";1;Lietuvių;24;0
36;Birutės;12;"Nuo 2 iki 3 metų";1;Lietuvių;20;0
36;Birutės;18;"Nuo 2 iki 4 metų";1;Lietuvių;20;0
37;Bitutė;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;70;0
37;Bitutė;4;"Nuo 3 iki 7 metų";1;Lietuvių;25;0
37;Bitutė;7;"Nuo 4 iki 5 metų";1;Lietuvių;44;0
37;Bitutė;8;"Nuo 5 iki 6 metų";1;Lietuvių;41;0
37;Bitutė;9;"Nuo 6 iki 7 metų";1;Lietuvių;2;0
37;Bitutė;10;"Nuo 3 iki 5 metų";1;Lietuvių;1;0
37;Bitutė;11;"Nuo 5 iki 7 metų";1;Lietuvių;59;0
37;Bitutė;18;"Nuo 2 iki 4 metų";1;Lietuvių;78;0
37;Bitutė;28;"Nuo 1 iki 7 metų";1;Lietuvių;0;1
39;Coliukė;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;19;0
39;Coliukė;4;"Nuo 3 iki 7 metų";1;Lietuvių;22;0
39;Coliukė;17;"Nuo 1 iki 2 metų";1;Lietuvių;12;12
39;Coliukė;18;"Nuo 2 iki 4 metų";1;Lietuvių;0;13
40;Čiauškutis;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;10;0
40;Čiauškutis;6;"Nuo 3 iki 4 metų";1;Lietuvių;19;0
40;Čiauškutis;7;"Nuo 4 iki 5 metų";1;Lietuvių;27;0
40;Čiauškutis;8;"Nuo 5 iki 6 metų";1;Lietuvių;20;0
40;Čiauškutis;10;"Nuo 3 iki 5 metų";1;Lietuvių;10;0
40;Čiauškutis;11;"Nuo 5 iki 7 metų";1;Lietuvių;43;0
40;Čiauškutis;13;"Nuo 4 iki 6 metų";1;Lietuvių;18;0
41;Daigelis;13;"Nuo 4 iki 6 metų";1;Lietuvių;20;0
41;Daigelis;18;"Nuo 2 iki 4 metų";1;Lietuvių;15;0
44;Drevinukas;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;48;0
44;Drevinukas;6;"Nuo 3 iki 4 metų";1;Lietuvių;11;3
44;Drevinukas;7;"Nuo 4 iki 5 metų";1;Lietuvių;35;0
44;Drevinukas;8;"Nuo 5 iki 6 metų";1;Lietuvių;37;0
44;Drevinukas;11;"Nuo 5 iki 7 metų";1;Lietuvių;24;0
44;Drevinukas;18;"Nuo 2 iki 4 metų";1;Lietuvių;42;0
44;Drevinukas;28;"Nuo 1 iki 7 metų";1;Lietuvių;0;1
45;Drugelis;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;53;0
45;Drugelis;6;"Nuo 3 iki 4 metų";1;Lietuvių;26;0
45;Drugelis;7;"Nuo 4 iki 5 metų";1;Lietuvių;23;0
45;Drugelis;8;"Nuo 5 iki 6 metų";1;Lietuvių;25;0
45;Drugelis;11;"Nuo 5 iki 7 metų";1;Lietuvių;17;0
46;"Du gaideliai";3;"Nuo 1,5 iki 3 metų";1;Lietuvių;35;21
46;"Du gaideliai";6;"Nuo 3 iki 4 metų";1;Lietuvių;21;0
46;"Du gaideliai";7;"Nuo 4 iki 5 metų";1;Lietuvių;25;0
46;"Du gaideliai";8;"Nuo 5 iki 6 metų";1;Lietuvių;24;0
46;"Du gaideliai";9;"Nuo 6 iki 7 metų";1;Lietuvių;0;23
46;"Du gaideliai";11;"Nuo 5 iki 7 metų";1;Lietuvių;21;0
46;"Du gaideliai";12;"Nuo 2 iki 3 metų";1;Lietuvių;0;1
46;"Du gaideliai";28;"Nuo 1 iki 7 metų";1;Lietuvių;0;20
47;Eglutė;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;104;0
47;Eglutė;6;"Nuo 3 iki 4 metų";1;Lietuvių;4;0
47;Eglutė;7;"Nuo 4 iki 5 metų";1;Lietuvių;44;0
47;Eglutė;8;"Nuo 5 iki 6 metų";1;Lietuvių;44;0
47;Eglutė;11;"Nuo 5 iki 7 metų";1;Lietuvių;52;0
47;Eglutė;16;"Nuo 4 iki 7 metų";1;Lietuvių;5;0
47;Eglutė;18;"Nuo 2 iki 4 metų";1;Lietuvių;73;0
49;Gandriukas;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;89;0
49;Gandriukas;6;"Nuo 3 iki 4 metų";1;Lietuvių;62;0
49;Gandriukas;7;"Nuo 4 iki 5 metų";1;Lietuvių;43;0
49;Gandriukas;8;"Nuo 5 iki 6 metų";1;Lietuvių;64;0
49;Gandriukas;11;"Nuo 5 iki 7 metų";1;Lietuvių;46;0
50;"Geniukų kalvė";3;"Nuo 1,5 iki 3 metų";1;Lietuvių;67;0
50;"Geniukų kalvė";6;"Nuo 3 iki 4 metų";1;Lietuvių;32;0
50;"Geniukų kalvė";7;"Nuo 4 iki 5 metų";1;Lietuvių;65;0
50;"Geniukų kalvė";8;"Nuo 5 iki 6 metų";1;Lietuvių;48;3
50;"Geniukų kalvė";9;"Nuo 6 iki 7 metų";1;Lietuvių;1;0
50;"Geniukų kalvė";11;"Nuo 5 iki 7 metų";1;Lietuvių;45;0
50;"Geniukų kalvė";18;"Nuo 2 iki 4 metų";1;Lietuvių;45;0
51;Gelvonėlis;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;50;0
51;Gelvonėlis;7;"Nuo 4 iki 5 metų";1;Lietuvių;19;0
51;Gelvonėlis;8;"Nuo 5 iki 6 metų";1;Lietuvių;20;0
51;Gelvonėlis;11;"Nuo 5 iki 7 metų";1;Lietuvių;20;0
51;Gelvonėlis;16;"Nuo 4 iki 7 metų";1;Lietuvių;6;2
51;Gelvonėlis;18;"Nuo 2 iki 4 metų";1;Lietuvių;19;0
52;"Gervelė (Dzūkų g. 32)";3;"Nuo 1,5 iki 3 metų";1;Lietuvių;24;0
52;"Gervelė (Dzūkų g. 32)";6;"Nuo 3 iki 4 metų";1;Lietuvių;7;1
52;"Gervelė (Dzūkų g. 32)";7;"Nuo 4 iki 5 metų";1;Lietuvių;26;1
52;"Gervelė (Dzūkų g. 32)";8;"Nuo 5 iki 6 metų";1;Lietuvių;23;0
52;"Gervelė (Dzūkų g. 32)";9;"Nuo 6 iki 7 metų";1;Lietuvių;4;1
52;"Gervelė (Dzūkų g. 32)";11;"Nuo 5 iki 7 metų";1;Lietuvių;15;0
52;"Gervelė (Dzūkų g. 32)";18;"Nuo 2 iki 4 metų";1;Lietuvių;14;0
53;Gilužis;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;61;0
53;Gilužis;6;"Nuo 3 iki 4 metų";1;Lietuvių;110;0
53;Gilužis;7;"Nuo 4 iki 5 metų";1;Lietuvių;46;0
53;Gilužis;8;"Nuo 5 iki 6 metų";1;Lietuvių;46;0
53;Gilužis;11;"Nuo 5 iki 7 metų";1;Lietuvių;111;0
54;"Gintarėlis (Didlaukio g. 35)";3;"Nuo 1,5 iki 3 metų";1;Lietuvių;72;0
54;"Gintarėlis (Didlaukio g. 35)";6;"Nuo 3 iki 4 metų";1;Lietuvių;46;0
54;"Gintarėlis (Didlaukio g. 35)";7;"Nuo 4 iki 5 metų";1;Lietuvių;23;0
54;"Gintarėlis (Didlaukio g. 35)";8;"Nuo 5 iki 6 metų";1;Lietuvių;57;0
54;"Gintarėlis (Didlaukio g. 35)";10;"Nuo 3 iki 5 metų";1;Lietuvių;23;0
54;"Gintarėlis (Didlaukio g. 35)";11;"Nuo 5 iki 7 metų";1;Lietuvių;88;0
54;"Gintarėlis (Didlaukio g. 35)";14;"Nuo 3 iki 6 metų";1;Lietuvių;46;0
54;"Gintarėlis (Didlaukio g. 35)";18;"Nuo 2 iki 4 metų";1;Lietuvių;60;0
54;"Gintarėlis (Didlaukio g. 35)";19;"Nuo 2 iki 5 metų";1;Lietuvių;2;0
54;"Gintarėlis (Didlaukio g. 35)";28;"Nuo 1 iki 7 metų";1;Lietuvių;0;1
55;Giraitė;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;78;0
55;Giraitė;6;"Nuo 3 iki 4 metų";1;Lietuvių;43;0
55;Giraitė;7;"Nuo 4 iki 5 metų";1;Lietuvių;47;0
55;Giraitė;8;"Nuo 5 iki 6 metų";1;Lietuvių;24;0
55;Giraitė;10;"Nuo 3 iki 5 metų";1;Lietuvių;20;0
55;Giraitė;11;"Nuo 5 iki 7 metų";1;Lietuvių;62;0
55;Giraitė;18;"Nuo 2 iki 4 metų";1;Lietuvių;42;0
55;Giraitė;28;"Nuo 1 iki 7 metų";1;Lietuvių;1;0
56;Gudrutis;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;35;0
56;Gudrutis;7;"Nuo 4 iki 5 metų";1;Lietuvių;20;0
56;Gudrutis;8;"Nuo 5 iki 6 metų";1;Lietuvių;22;0
56;Gudrutis;10;"Nuo 3 iki 5 metų";1;Lietuvių;2;0
56;Gudrutis;11;"Nuo 5 iki 7 metų";1;Lietuvių;21;0
56;Gudrutis;18;"Nuo 2 iki 4 metų";1;Lietuvių;49;0
56;Gudrutis;28;"Nuo 1 iki 7 metų";1;Lietuvių;0;1
57;Jovarėlis;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;59;0
57;Jovarėlis;4;"Nuo 3 iki 7 metų";1;Lietuvių;14;3
57;Jovarėlis;6;"Nuo 3 iki 4 metų";1;Lietuvių;45;0
57;Jovarėlis;7;"Nuo 4 iki 5 metų";1;Lietuvių;45;0
57;Jovarėlis;8;"Nuo 5 iki 6 metų";1;Lietuvių;23;0
57;Jovarėlis;11;"Nuo 5 iki 7 metų";1;Lietuvių;89;0
57;Jovarėlis;18;"Nuo 2 iki 4 metų";1;Lietuvių;31;0
58;Jurginėlis;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;93;0
58;Jurginėlis;6;"Nuo 3 iki 4 metų";1;Lietuvių;18;0
58;Jurginėlis;7;"Nuo 4 iki 5 metų";1;Lietuvių;67;0
58;Jurginėlis;8;"Nuo 5 iki 6 metų";1;Lietuvių;24;0
58;Jurginėlis;11;"Nuo 5 iki 7 metų";1;Lietuvių;58;0
58;Jurginėlis;12;"Nuo 2 iki 3 metų";1;Lietuvių;14;0
58;Jurginėlis;18;"Nuo 2 iki 4 metų";1;Lietuvių;33;0
58;Jurginėlis;19;"Nuo 2 iki 5 metų";1;Lietuvių;2;0
59;Karusėlė;4;"Nuo 3 iki 7 metų";1;Lietuvių;22;0
59;Karusėlė;6;"Nuo 3 iki 4 metų";1;Lietuvių;30;2
59;Karusėlė;8;"Nuo 5 iki 6 metų";1;Lietuvių;22;0
59;Karusėlė;11;"Nuo 5 iki 7 metų";1;Lietuvių;45;0
59;Karusėlė;16;"Nuo 4 iki 7 metų";1;Lietuvių;8;5
60;Kaštonas;10;"Nuo 3 iki 5 metų";1;Lietuvių;20;0
60;Kaštonas;11;"Nuo 5 iki 7 metų";1;Lietuvių;21;0
61;Krivūlė;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;55;0
61;Krivūlė;10;"Nuo 3 iki 5 metų";1;Lietuvių;42;0
61;Krivūlė;11;"Nuo 5 iki 7 metų";1;Lietuvių;58;0
61;Krivūlė;13;"Nuo 4 iki 6 metų";1;Lietuvių;22;0
61;Krivūlė;18;"Nuo 2 iki 4 metų";1;Lietuvių;36;0
61;Krivūlė;20;"Nuo 2 iki 6 metų";1;Lietuvių;24;0
62;Kodėlčiukas;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;144;0
62;Kodėlčiukas;6;"Nuo 3 iki 4 metų";1;Lietuvių;45;3
62;Kodėlčiukas;7;"Nuo 4 iki 5 metų";1;Lietuvių;77;0
62;Kodėlčiukas;8;"Nuo 5 iki 6 metų";1;Lietuvių;61;1
62;Kodėlčiukas;11;"Nuo 5 iki 7 metų";1;Lietuvių;48;0
62;Kodėlčiukas;18;"Nuo 2 iki 4 metų";1;Lietuvių;61;0
62;Kodėlčiukas;28;"Nuo 1 iki 7 metų";1;Lietuvių;0;1
66;Lakštingala;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;75;0
66;Lakštingala;6;"Nuo 3 iki 4 metų";1;Lietuvių;35;6
66;Lakštingala;7;"Nuo 4 iki 5 metų";1;Lietuvių;64;0
66;Lakštingala;8;"Nuo 5 iki 6 metų";1;Lietuvių;40;0
66;Lakštingala;11;"Nuo 5 iki 7 metų";1;Lietuvių;49;0
66;Lakštingala;16;"Nuo 4 iki 7 metų";1;Lietuvių;5;2
66;Lakštingala;18;"Nuo 2 iki 4 metų";1;Lietuvių;64;7
68;Lazdynėlis;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;47;0
68;Lazdynėlis;6;"Nuo 3 iki 4 metų";1;Lietuvių;94;0
68;Lazdynėlis;7;"Nuo 4 iki 5 metų";1;Lietuvių;24;0
68;Lazdynėlis;11;"Nuo 5 iki 7 metų";1;Lietuvių;75;0
68;Lazdynėlis;16;"Nuo 4 iki 7 metų";1;Lietuvių;16;5
69;Liepsnelė;3;"Nuo 1,5 iki 3 metų";1;Lietuvių;16;0
69;Liepsnelė;14;"Nuo 3 iki 6 metų";1;Lietuvių;24;1
69;Liepsnelė;18;"Nuo 2 iki 4 metų";1;Lietuvių;1;0
71;"Lokiuko giraitė";3;"Nuo 1,5 iki 3 metų";1;Lietuvių;89;0
71;"Lokiuko giraitė";7;"Nuo 4 iki 5 metų";1;Lietuvių;63;0
71;"Lokiuko giraitė";8;"Nuo 5 iki 6 metų";1;Lietuvių;46;0
