ID;PLAN_ID;GROUP_ID;LABEL;REL_EDUCATION;GROUP_TYPE;AGE_TYPE;WILL_ACCEPT
1;1;13;;5;1;3;15
3;3;16;;24;1;3;8
4;3;15;;19;2;18;5
8;3;8;;5;3;11;2
9;3;11;;19;3;11;8
10;3;3;;5;1;9;20
11;4;6;;5;2;6;20
12;5;4;;19;2;3;14
13;5;11;;19;2;6;7
14;5;8;;19;2;7;6
15;5;10;;20;2;4;8
17;7;13;;5;1;3;20
19;7;5;;5;3;9;2
20;8;12;;5;1;3;8
21;8;11;;5;1;3;11
22;10;16;;5;1;1;10
23;10;2;;5;2;3;20
25;10;6;;5;2;6;10
26;10;8;;5;2;7;11
29;10;9;;5;2;8;4
31;6;12;;5;1;3;9
32;6;17;;5;1;3;15
35;6;3;;19;1;18;9
36;6;11;;24;2;14;10
44;11;12;SAULUTĖS;5;2;6;20
45;12;33;;5;1;3;14
46;12;23;;132;2;19;4
48;12;24;;13;2;14;2
49;12;25;;13;2;14;5
51;13;7;;5;1;3;8
52;13;2;;6;2;10;5
53;13;4;;5;2;9;8
54;14;3;;24;2;6;2
55;14;11;;24;2;7;2
56;14;12;;24;2;7;13
57;14;2;;24;2;9;20
58;14;1;;24;3;9;7
59;15;6;;5;2;7;3
60;15;13;;5;2;9;2
61;14;7;;24;3;8;1
62;16;1;;5;3;9;20
63;16;2;;5;3;9;20
64;17;1;;27;2;18;10
65;17;2;;27;2;16;3
66;18;17;;5;1;3;15
67;18;18;;5;1;3;15
68;18;12;;5;2;6;5
69;18;5;;5;2;6;5
70;18;10;;5;2;14;1
71;18;11;;5;2;14;3
72;19;19;;5;1;3;15
73;19;20;;5;1;3;7
77;20;12;;5;1;3;3
78;20;11;;5;1;3;20
79;20;5;;5;2;6;2
80;20;4;;5;3;9;8
81;20;3;;5;3;9;9
82;21;1;;5;3;9;24
83;22;5;;5;1;3;8
84;22;16;;5;2;6;16
85;22;8;;5;2;7;1
86;22;3;;5;3;9;3
87;21;2;;0;3;9;24
88;21;3;;0;3;9;24
89;24;19;;5;1;3;7
90;24;18;;5;1;3;15
91;24;8;;5;3;9;20
94;25;2;;5;2;6;23
95;25;7;;5;2;7;1
96;25;1;;5;2;9;2
97;26;14;;5;2;3;18
98;26;13;;5;2;3;18
99;26;17;;5;1;6;4
100;26;18;;5;1;6;1
103;26;2;;5;2;9;6
105;27;13;;5;1;3;12
106;27;7;;5;2;6;8
107;27;4;;5;3;9;11
108;29;4;;5;2;6;3
110;28;10;;5;1;3;15
111;28;9;;5;1;3;12
114;31;21;;5;1;3;12
115;31;22;;5;1;3;10
116;31;1;;5;2;8;20
117;31;11;;5;2;9;11
118;31;6;;5;2;9;6
119;32;2;;19;3;9;15
120;32;3;;19;3;9;15
121;33;22;;5;1;3;14
122;33;23;;5;1;3;12
123;33;3;;5;2;6;4
124;33;4;;5;2;6;6
125;34;26;;5;1;3;15
126;34;25;;5;1;3;12
130;35;24;;5;1;3;13
131;35;23;;5;1;3;11
132;35;3;;5;2;6;2
134;35;21;;5;2;6;1
135;35;2;;5;2;7;6
136;35;1;;5;2;7;9
137;35;12;;5;2;11;11
138;35;22;;5;3;9;1
139;36;12;;19;1;3;9
141;36;9;;19;2;9;15
142;37;7;;5;1;3;5
143;37;12;;5;1;3;4
144;37;5;;5;3;9;20
145;38;25;;5;1;3;15
146;38;24;;5;1;3;11
147;38;17;;5;1;6;2
148;38;18;;5;2;6;9
149;38;23;;5;2;13;1
150;39;13;;5;2;3;15
151;39;10;;19;2;3;15
152;39;21;;5;1;6;1
155;39;4;;19;3;8;7
156;40;7;;5;1;3;14
157;41;21;;5;1;3;11
158;41;22;;5;1;3;9
159;41;20;;5;1;3;7
160;41;10;;5;2;8;1
161;23;1;;19;3;9;20
162;23;2;PRIEŠMOKYKLINĖ;18;3;9;20
165;42;9;;19;1;3;20
166;42;3;;19;2;6;9
167;43;35;;5;1;3;11
168;43;32;;5;1;3;13
171;43;13;;5;2;8;2
172;44;11;;5;1;3;9
173;44;16;;5;1;3;10
174;44;15;;5;1;3;14
175;44;14;;5;1;3;14
176;45;13;;5;1;3;11
177;45;4;;5;2;6;6
178;46;26;;5;1;3;15
179;46;24;;5;1;3;4
182;46;27;;5;3;9;3
184;15;9;;5;1;6;4
186;47;7;;5;1;3;13
187;47;4;;5;3;11;2
188;48;17;;5;1;3;20
190;48;3;;5;2;6;16
192;49;7;;5;1;1;10
