Darželis,"Vaikų 
skaičius","Suma iš 
Pateisintos dėl ligos","Suma iš 
Pateisintos dėl kitų priežasčių","Suma iš 
Nepateisintos dienos","Suma iš 
Praleistos dienos Viso","Pateisintos 
dėl ligos (vidurkis)","Pateisintos 
dėl kitų priežasčių
(vidurkis)","Nepateisintos 
dienos (vidurkis)","Praleistos 
dienos 
(vidurkis)",Pastato išorė,Pastato vidus,Pastato bendra būklė
Medynėlis,230,10652,12977,1361,24990,46.3,56.4,5.9,108.7,3.27,3.72,3.49
Salininkų,136,5945,7257,524,13726,43.7,53.4,3.9,100.9,4.73,3.72,4.23
Saulėtekis,279,11125,14339,808,26272,39.9,51.4,2.9,94.2,3.47,3.28,3.37
Aušrinė,168,6450,5386,830,12666,38.4,32.1,4.9,75.4,4.60,3.68,4.14
Trakų Vokė,136,5200,4303,1199,10702,38.2,31.6,8.8,78.7,3.73,3.56,3.65
Riešutėlis,290,10712,14119,1390,26221,36.9,48.7,4.8,90.4,3.00,3.32,3.31
Justinukas,310,11354,13891,1093,26338,36.6,44.8,3.5,85.0,2.60,3.33,2.97
Karusėlė,307,11177,13791,748,25716,36.4,44.9,2.4,83.8,3.87,3.08,3.47
Paslaptis,110,3868,3472,605,7945,35.2,31.6,5.5,72.2,3.63,3.49,3.56
Šilelis,296,10269,12304,1994,24567,34.7,41.6,6.7,83.0,2.40,3.56,2.98
Ozas,347,11887,17208,2206,31301,34.3,49.6,6.4,90.2,3.60,3.72,3.66
Aitvaras,376,12558,13487,1663,27708,33.4,35.9,4.4,73.7,2.90,3.48,3.19
Svaja,115,3799,4827,611,9237,33.0,42.0,5.3,80.3,4.13,3.76,3.95
Markučiai,268,8752,10957,2195,21904,32.7,40.9,8.2,81.7,3.50,3.56,3.53
Naminukas,103,3290,4518,856,8664,31.9,43.9,8.3,84.1,3.50,3.72,3.61
Raktelis,352,11171,14550,989,26710,31.7,41.3,2.8,75.9,3.63,3.96,3.80
Želmenėliai,321,10158,15698,529,26385,31.6,48.9,1.6,82.2,3.00,3.64,3.32
Zylutė,285,9011,12185,642,21838,31.6,42.8,2.3,76.6,3.73,3.92,3.83
Dobilėlis,4,126,157,12,295,31.5,39.3,3.0,73.8,3.47,3.41,3.44
Vėrinėlis,346,10887,13605,1798,26290,31.5,39.3,5.2,76.0,3.00,3.65,3.33
Gabijėlė,307,9521,16812,2608,28941,31.0,54.8,8.5,94.3,3.87,3.56,3.71
Puriena,340,10409,12982,1511,24902,30.6,38.2,4.4,73.2,3.30,3.32,3.31
Šnekutis,165,4996,5755,1681,12432,30.3,34.9,10.2,75.3,2.07,3.48,2.77
Gilužis,372,11245,16267,1114,28626,30.2,43.7,3.0,77.0,4.60,5.08,4.84
Vėtrungė,322,9626,13934,1150,24710,29.9,43.3,3.6,76.7,3.00,3.56,3.28
Žiedas,429,12686,16490,994,30170,29.6,38.4,2.3,70.3,4.00,3.80,3.90
Pilaitukas,398,11630,14402,1808,27840,29.2,36.2,4.5,69.9,-,-,-
Žibutė,155,4526,6240,1462,12228,29.2,40.3,9.4,78.9,2.70,3.24,2.97
Coliukė,153,4440,6495,253,11188,29.0,42.5,1.7,73.1,-,-,-
Šermukšnėlė,337,9665,11753,1734,23152,28.7,34.9,5.1,68.7,4.73,3.72,4.23
Molinukas,205,5838,6943,1776,14557,28.5,33.9,8.7,71.0,2.80,3.63,3.21
Žirniukas,195,5503,8571,2046,16120,28.2,44.0,10.5,82.7,1.73,3.49,2.61
Birutės,124,3497,4145,698,8340,28.2,33.4,5.6,67.3,-,-,-
Skroblinukas,354,9960,13812,2737,26509,28.1,39.0,7.7,74.9,2.57,3.72,3.14
Jurginėlis,386,10819,13763,1774,26356,28.0,35.7,4.6,68.3,2.73,3.48,3.11
Viltenė,353,9756,17436,530,27722,27.6,49.4,1.5,78.5,3.00,3.08,3.04
Gelvonėlis,382,10355,13968,1654,25977,27.1,36.6,4.3,68.0,5.10,3.72,4.41
Žolynėlis,190,5150,8666,1194,15010,27.1,45.6,6.3,79.0,7.73,8.33,8.03
Žuvėdra,197,5332,7561,716,13609,27.1,38.4,3.6,69.1,2.07,3.64,2.85
Strazdelis,385,10391,13585,302,24278,27.0,35.3,0.8,63.1,3.73,3.80,3.77
Spindulėlis,127,3421,4065,1251,8737,26.9,32.0,9.9,68.8,2.40,3.72,3.06
Saulutė,251,6742,8706,2225,17673,26.9,34.7,8.9,70.4,7.47,7.80,7.63
Vaduvos,190,5098,7582,1033,13713,26.8,39.9,5.4,72.2,3.87,3.72,3.79
Lazdynėlis,265,7078,15132,1461,23671,26.7,57.1,5.5,89.3,6.87,3.92,5.39
Vėjelis,357,9467,14852,1248,25567,26.5,41.6,3.5,71.6,3.73,3.36,3.55
Pabiručiai,277,7317,12913,710,20940,26.4,46.6,2.6,75.6,4.10,3.71,3.90
Pasakaitė,312,8217,12343,2386,22946,26.3,39.6,7.6,73.5,2.70,3.64,3.17
Beržynėlis,174,4576,6103,747,11426,26.3,35.1,4.3,65.7,2.87,4.92,3.89
Vilnelė,334,8779,13932,655,23366,26.3,41.7,2.0,70.0,3.00,3.44,3.22
Obelėlė,306,8022,11444,2714,22180,26.2,37.4,8.9,72.5,3.00,3.80,3.40
Panerių,88,2306,3065,973,6344,26.2,34.8,11.1,72.1,-,-,-
Žiogelis,370,9687,14228,1253,25168,26.2,38.5,3.4,68.0,-,-,-
Sadutė,155,4053,7116,1314,12483,26.1,45.9,8.5,80.5,3.13,3.72,3.43
Nykštukas,347,9037,15009,739,24785,26.0,43.3,2.1,71.4,2.90,3.72,3.31
Bangelė,292,7596,9225,1583,18404,26.0,31.6,5.4,63.0,3.47,3.64,3.55
Spygliukas,326,8419,9850,1728,19997,25.8,30.2,5.3,61.3,1.97,3.16,2.56
Delfinukas,337,8642,10309,2988,21939,25.6,30.6,8.9,65.1,3.10,3.16,3.13
Giraitė,371,9474,12074,1351,22899,25.5,32.5,3.6,61.7,4.10,3.16,3.63
Pakalnutė,250,6311,9584,812,16707,25.2,38.3,3.2,66.8,4.00,3.72,3.86
Papartis,376,9489,12712,2547,24748,25.2,33.8,6.8,65.8,3.60,3.72,3.66
Pipiras,318,7947,15704,606,24257,25.0,49.4,1.9,76.3,1.67,3.72,2.69
Vilkpėdės,183,4565,6186,333,11084,24.9,33.8,1.8,60.6,4.10,3.53,3.82
Atžalėlės,239,5957,10669,2148,18774,24.9,44.6,9.0,78.6,4.60,3.84,4.22
Lašelis,202,5011,6048,554,11613,24.8,29.9,2.7,57.5,4.10,3.80,3.95
Kodėlčiukas,467,11556,11337,3427,26320,24.7,24.3,7.3,56.4,3.60,3.56,3.58
Švelnukas,165,4037,7064,1552,12653,24.5,42.8,9.4,76.7,3.47,3.72,3.59
Berželis,238,5776,6748,552,13076,24.3,28.4,2.3,54.9,2.40,3.64,3.02
