"ID","LABEL","ADDRESS","PHONE","SCHOOLNO","WWW","EMAIL","FAX","SCHOOL_TYPE","BUILDDATE","ELDERATE","GIS_X","GIS_Y"
"31","Aitvaras","Pašilaičių g. 10, Vilnius","+370 5 247 1732, 247 17 48(dir.)","190032931",,"rastine@aitvaras.vilnius.lm.lt",,"Valstybinis darželis","1987-12-12","Pašilaičių","579323","6066674"
"32","Atžalėlės","Antakalnio g. 74, Vilnius","+370 5 234 1580","190019122",,"rastine@atzaleles.vilnius.lm.lt","+370 5 234 1469","Valstybinis darželis","1989-11-14","Antakalnio","584600","6064495"
"33","Aušrelė","Gerosios vilties g. 28, Vilnius","213 8721,","190020391",,"rastine@ausrele.vilnius.lm.lt",,"Valstybinis darželis","1111-11-11","Vilkpėdės","580536","6060144"
"34","Beržynėlis","Beržyno g. 7A, Vilnius","233 5728, 233 5462,","190019275",,"rastine@berzynelis.vilnius.lm.lt",,"Valstybinis darželis","1978-12-12","Naujamiesčio","580943","6061242"
"35","Bildukas","Mindaugo g. 7/2, Vilnius","269 2935, 269 3872","190014876",,"rastine@bildukas.vilnius.lm.lt",,"Valstybinis darželis","1989-09-01","Naujamiesčio","582078","6061130"
"36","Birutės","Birutės g. 4, Vilnius","275 1665,","190016927",,"rastine@birutes.vilnius.lm.lt",,"Valstybinis darželis","1974-12-13","Žvėryno","580647","6061804"
"37","Bitutė","Paberžės g. 20, Vilnius","246 3303,","190031797",,"rastine@bitute.vilnius.lm.lt",,"Valstybinis darželis","1996-01-14","Šeškinės","580866","6065254"
"39","Coliukė","A. Kojelavičiaus g. 298, Vilnius","267 2502 (dir.), 267 6478(pav.),","190015444",,"rastine@coliuke.vilnius.lm.lt",,"Valstybinis darželis","1991-11-15","Naujosios Vilnios","592006","6063279"
"40","Čiauškutis","Sausio 13-osios g. 6, Vilnius","244 1983, 2452052 dir. ciauskutis@gmail.com,","190027941",,"rastine@ciauskutis.vilnius.lm.lt",,"Valstybinis darželis vaikam su negalia","1973-12-10","Visos seniūnijos","578557","6062138"
"41","Daigelis","Dariaus ir Girėno g. 14, Vilnius","247 2141, daigelis@yahoo.co.uk,","191727213",,"rastine@daigelis.vilnius.lm.lt",,"Valstybinis darželis","1996-01-13","Naujininkų","582247","6059212"
"42","Delfinukas","V.Maciulevičiaus g. 32, Vilnius","244 3936,","190027037",,"rastine@delfinukas.vilnius.lm.lt",,"Valstybinis darželis","1973-11-16","Karoliniškių","577517","6062088"
"43","Dobilėlis","Savanorių pr. 55, Vilnius","233 5304,","190014495",,"rastine@dobilelis.vilnius.lm.lt",,"Valstybinis darželis vaikam su negalia","1990-09-17","Visos seniūnijos","580102","6060140"
"44","Drevinukas","K. Donelaičio g. 12, Vilnius","233 0435, 233 2798,","190018935",,"rastine@drevinukas.vilnius.lm.lt",,"Valstybinis darželis","2012-07-01","Naujamiesčio","580761","6061130"
"45","Drugelis","Rinktinės g. 28A, Vilnius","272 2710, 8 620 42 370,","190017071",,"rastine@drugelis.vilnius.lm.lt",,"Valstybinis darželis","1968-06-01","Šnipiškių","582953","6062908"
"46","Du gaideliai","Pelesos g. 15, Vilnius","269 3497, 8 620 44 234,","190014723",,"rastine@dugaideliai.vilnius.lm.lt",,"Valstybinis darželis","1960-01-01","Naujininkų","582659","6059555"
"47","Eglutė","Miglos g. 3, Vilnius","279 0103 dir., 279 0404","190019994",,"rastine@eglute.vilnius.lm.lt",,"Valstybinis darželis","2013-12-17","Žvėryno","580436","6063700"
"48","Aušrinė","Laisvės pr. 57, Vilnius","242 9474,","190031110",,"rastine@ausrine.vilnius.lm.lt",,"Valstybinis darželis","2013-03-07","Šeškinės","579432","6065169"
"49","Gandriukas","Fabijoniškių g. 7, Vilnius","272 4621, 272 1516,","190033129",,"rastine@gandriukas.vilnius.lm.lt",,"Valstybinis darželis","1111-11-11","Fabijoniškių","580283","6065778"
"50","Geniukų kalvė","Muitinės g. 30, Vilnius","233 0469,","9001248",,"rastine@geniukukalve.vilnius.lm.lt",,"Valstybinis darželis","1996-01-02","Naujamiesčio","581387","6060906"
"51","Gelvonėlis","Gelvonų g. 1, Vilnius","246 4921, 246 3294,","290031830",,"rastine@gelvonelis.vilnius.lm.lt",,"Valstybinis darželis","1996-01-13","Šeškinės","581076","6065015"
"52","Gervelė","Dzūkų g. 32, Vilnius","265 6542, 238 4919","190013589",,"rastine@gervele.vilnius.lm.lt",,"Valstybinis darželis","1996-01-06","Naujininkų","582938","6059430"
"53","Gilužis","Vydūno g. 11A, Vilnius","230 7630,","190028324",,"rastine@giluzis.vilnius.lm.lt",,"Valstybinis darželis","1992-01-21","Pilaitės","576329","6063915"
"54","Gintarėlis","Didlaukio g. 35, Vilnius","277 7786,","190029383",,"rastine@gintarelis.vilnius.lm.lt",,"Valstybinis darželis","2012-09-12","Verkių","581859","6066821"
"55","Giraitė","Erfurto g. 42, Vilnius","244 0015,","190025214",,"rastine@giraite.vilnius.lm.lt",,"Valstybinis darželis","1990-01-14","Lazdynų","577792","6060491"
"56","Gudrutis","Trakų g. 12, Vilnius","262 9439, 262 8805,","190012715",,"rastine@gudrutis.vilnius.lm.lt",,"Valstybinis darželis","1986-05-30","Senamiesčio","582563","6061178"
"57","Jovarėlis","S. Stanevičiaus g. 21, Vilnius","247 9291, 247 4215,","190033467",,"rastine@jovarelis.vilnius.lm.lt",,"Valstybinis darželis","1960-01-01","Fabijoniškių","580839","6065899"
"58","Jurginėlis","Justiniškių g. 47, Vilnius","241 0212, 241 3829","190029045",,"rastine@jurginelis.vilnius.lm.lt",,"Valstybinis darželis","1961-01-01","Viršuliškių","578565","6063867"
"59","Karusėlė","Gedvydžių 25, Vilnius","248 3544, 8 612 65 126,","190033652",,"rastine@karusele.vilnius.lm.lt",,"Valstybinis darželis","1991-11-15","Fabijoniškių","579862","6067383"
"60","Kaštonas","Antakalnio g. 108, Vilnius","234 6100,","9001984",,"rastine@kastonas.vilnius.lm.lt",,"Valstybinis darželis","1961-01-01","Antakalnio","584743","6065166"
"61","Krivūlė","Lydos g. 5, Vilnius","261 3579, 262 6589","190015782",,"rastine@krivule.vilnius.lm.lt",,"Valstybinis darželis","1992-01-21","Senamiesčio","582618","6060984"
"62","Kodėlčiukas","Laisvės pr. 59, Vilnius","241 3988,","190031459",,"rastine@kodelciukas.vilnius.lm.lt",,"Valstybinis darželis","1987-12-12","Šeškinės","579454","6065252"
"63","Klevelis","Stadiono g. 5, Vilnius","237 5064, 269 5382,","190015063",,"rastine@klevelis.vilnius.lm.lt",,"Valstybinis darželis","1996-01-13","Rasų","583359","6059967"
"64","Kurpaitė","Birželio 23-iosios g. 6A, Vilnius","233 3686,","190017114",,"rastine@kurpaite.vilnius.lm.lt",,"Valstybinis darželis","1995-09-01","Naujamiesčio","581350","6060317"
"65","Kūlverstukas","Suvalkų g. 6, Vilnius","233 0532, 233 3545,","190013436",,"rastine@kulverstukas.vilnius.lm.lt",,"Valstybinis darželis","1995-09-01","Naujamiesčio","581645","6061494"
