"MUNICIPALITY_ID";"GR_AGE_TYPE";"MONTH_FROM";"MONTH_TO";"YEAR_FROM";"YEAR_TO";"STATUS"
"57";"1";"12";"18";"2014";"2014";"1"
"57";"3";"18";"36";"2014,5";"2013";"1"
"57";"4";"36";"84";"2012";"2009";"1"
"57";"5";"12";"36";"0";"0";"0"
"57";"6";"32";"44";"2012,5";"2012";"1"
"57";"7";"48";"60";"2011";"2011";"1"
"57";"8";"60";"72";"2010";"2010";"1"
"57";"9";"72";"84";"2009";"2009";"1"
"57";"10";"45";"56";"2012";"2011";"1"
"57";"11";"60";"84";"2010";"2009";"1"
"57";"12";"24";"36";"2013";"2012";"1"
"57";"13";"48";"72";"2011";"2010";"1"
"57";"14";"36";"72";"2012";"2010";"1"
"57";"15";"72";"96";"2009";"2008";"1"
"57";"16";"48";"84";"2011";"2009";"1"
"57";"17";"12";"24";"2014";"2014";"1"
"57";"18";"21";"48";"2013";"2011";"1"
"57";"19";"24";"60";"2013";"2011";"1"
"57";"20";"24";"72";"2013";"2010";"1"
"57";"21";"12";"60";"0";"0";"0"
"57";"22";"12";"72";"0";"0";"0"
"57";"23";"18";"72";"2014";"2010";"1"
"57";"24";"12";"36";"0";"0";"0"
"57";"25";"18";"84";"0";"0";"0"
"57";"26";"18";"60";"0";"0";"0"
"57";"27";"0";"0";"0";"0";"0"
"57";"28";"0";"0";"0";"0";"0"
"57";"29";"0";"0";"0";"0";"0"
"57";"30";"0";"0";"0";"0";"0"
"57";"45";"0";"0";"2008";"2003";"1"
