"ID";"LABEL";"AGEFROM";"AGETO";"CHILDSCOUNT";"ORDERING"
"1";"Iki 1,5 metu";"0,00";"1,06";"10";"1"
"3";"Nuo 1,5 iki 3 metu";"1,06";"3,00";"15";"11"
"4";"Nuo 3 iki 7 metu";"3,00";"7,00";"20";"21"
"5";"Skirtingo amžiaus iki 3-eju metu";"0,00";"3,00";"8";"2"
"6";"Nuo 3 iki 4 metu";"3,00";"4,00";"20";"19"
"7";"Nuo 4 iki 5 metu";"4,00";"5,00";"20";"22"
"8";"Nuo 5 iki 6 metu";"5,00";"6,00";"20";"25"
"9";"Nuo 6 iki 7 metu";"6,00";"7,00";"20";"27"
"10";"Nuo 3 iki 5 metu";"3,00";"5,00";"20";"20"
"11";"Nuo 5 iki 7 metu";"5,00";"7,00";"20";"26"
"12";"Nuo 2 iki 3 metu";"2,00";"3,00";"20";"15"
"13";"Nuo 4 iki 6 metu";"4,00";"6,00";"20";"23"
"14";"Nuo 3 iki 6 metu";"3,00";"6,00";"20";"20"
"15";"Nuo 6 iki 8 metu";"6,00";"8,00";"20";"28"
"16";"Nuo 4 iki 7 metu";"4,00";"7,00";"20";"24"
"17";"Nuo 1 iki 2 metu";"1,00";"2,00";"15";"5"
"18";"Nuo 2 iki 4 metu";"2,00";"4,00";"20";"16"
"19";"Nuo 2 iki 5 metu";"2,00";"5,00";"20";"17"
"20";"Nuo 2 iki 6 metu";"2,00";"6,00";"20";"18"
"21";"Nuo 1 iki 5 metu";"1,00";"5,00";"20";"7"
"22";"Nuo 1 iki 6 metu";"1,00";"6,00";"20";"8"
"23";"Nuo 1,5 iki 6 metu";"1,06";"6,00";"20";"13"
"24";"Nuo 1 iki 3 metu";"1,00";"3,00";"8";"6"
"25";"Nuo 1,5 iki 7 metu";"1,06";"7,00";"20";"14"
"26";"Nuo 1,5 iki 5 metu";"1,06";"5,00";"20";"12"
"27";"Nuo 1,5 iki 2 metu";"1,06";"2,00";"15";"10"
"28";"Nuo 1 iki 7 metu";"1,00";"7,00";"20";"9"
"29";"Nuo 0,8 iki 2 metu";"0,08";"2,00";"15";"3"
"30";"Nuo 0,8 iki 5 metu";"0,08";"5,00";"20";"4"
"40";"Nuo 8 iki 10 metu";"8,00";"10,00";"15";"1"
"41";"Nuo 10 iki 12 metu";"10,00";"12,00";"15";"2"
"42";"Nuo 12 iki 14 metu";"12,00";"14,00";"15";"3"
"43";"Nuo 14 iki 16 metu";"14,00";"16,00";"15";"4"
"44";"Nuo 16 iki 18 metu";"16,00";"18,00";"15";"5"
"45";"Nuo 8m.";"8,00";"99,99";"20";"29"
"46";"Nuo 1 iki 8 metu";"1,00";"8,00";"20";"30"
