"ID","LABEL","CHILDSCOUNT","TYPE","SCHOOL_ID"
"20","VIJURKAI (ALERG.)","7","Nuo 6 iki 7 metų","31"
"21","SMALSUČIAI (ALERG.)","7","Nuo 6 iki 7 metų","31"
"22","PADAUŽIUKAI","12","Nuo 6 iki 7 metų","31"
"23","AITVARIUKAI (ALERG.)","0","Nuo 2 iki 5 metų","31"
"24","SAULĖS ZUIKUČIAI  (ALERG.)","0","Nuo 2 iki 4 metų","31"
"25","ŽEMYNUKAI (ALERG.)","0","Nuo 3 iki 6 metų","31"
"26","LINKSMUČIAI (ALERG.)","20","Nuo 5 iki 6 metų","31"
"27","NAMINUKAI","0","Nuo 3 iki 4 metų","31"
"28","ŠELMIAI","0","Nuo 5 iki 6 metų","31"
"29","KODĖLČIUKAI","0","Nuo 4 iki 5 metų","31"
"33","PABIRUČIAI","0","Nuo 1,5 iki 3 metų","31"
"31","SVAJOKLIAI  (ALERG.)","20","Nuo 2 iki 5 metų","31"
"34","NAUJA (LOPŠELIS)","13","Nuo 1,5 iki 3 metų","31"
"35","NAUJA (LOPŠELIS) ALERGIŠKI","20","Nuo 2 iki 4 metų","31"
"3","Gėlytės","25","Nuo 5 iki 6 metų","32"
"5","Drugeliai","0","Nuo 6 iki 7 metų","32"
"7","Gandriukai","0","Nuo 3 iki 4 metų","32"
"8","Voveriukai","0","Nuo 3 iki 7 metų","32"
"9","Žirniukai","0","Nuo 1,5 iki 3 metų","32"
"10","Ežiukai","0","Nuo 1,5 iki 3 metų","32"
"11","Paukšteliai","0","Nuo 4 iki 5 metų","32"
"12","Meškiukai","0","Nuo 4 iki 5 metų","32"
"15","NAUJA (LOPŠELIS)","13","Nuo 1,5 iki 3 metų","32"
"16","NAUJA (LOPŠELIS)","14","Nuo 1,5 iki 3 metų","32"
"1","PASAKIUKAI","14","Nuo 5 iki 6 metų","33"
"2","BORUŽĖLĖS","9","Nuo 5 iki 6 metų","33"
"3","SMALSUČIAI","12","Nuo 4 iki 5 metų","33"
"4","KODĖLČIUKAI","10","Nuo 4 iki 5 metų","33"
"8","PELĖDŽIUKAI","3","Nuo 6 iki 7 metų","33"
"10","AITVARIUKAI","2","Nuo 6 iki 7 metų","33"
"12","BITUTĖS","14","Nuo 4 iki 5 metų","33"
"13","ŽIRNIUKAI","16","Nuo 3 iki 4 metų","33"
"14","GRYBUKAI","14","Nuo 3 iki 4 metų","33"
"17","DRUGELIAI","14","Nuo 1,5 iki 3 metų","33"
"18","NYKŠTUKAI","0","Nuo 1,5 iki 3 metų","33"
"19","NAUJA (LOPŠELIS)","15","Nuo 1,5 iki 3 metų","33"
"20","NAUJA (LOPŠELIS)","15","Nuo 1,5 iki 3 metų","33"
"3","SVIRPLIUKAI","0","Nuo 4 iki 5 metų","34"
"4","PELEDŽIUKAI","6","Nuo 6 iki 7 metų","34"
"5","ŽIOGELIAI","0","Nuo 3 iki 4 metų","34"
"7","ŽVIRBLIUKAI","0","Nuo 5 iki 6 metų","34"
"9","ŽIRNIUKAI","0","Iki 1,5 metų","34"
"10","VIŠČIUKAI","0","Nuo 1,5 iki 3 metų","34"
"11","NAUJA (LOPŠELIS)","10","Iki 1,5 metų","34"
"12","NAUJA (LOPŠELIS)","12","Nuo 1,5 iki 3 metų","34"
"3","Svetliački savaitinė","18","Nuo 3 iki 7 metų","35"
"5","Zaičiata savaitinė ( keli alergiški vaikai)","0","Nuo 1,5 iki 3 metų","35"
"6","Gnomiki","15","Nuo 3 iki 4 metų","35"
"7","Zvonočki","21","Nuo 3 iki 7 metų","35"
"11","NAUJA (LOPŠELIS)","11","Nuo 1,5 iki 3 metų","35"
"1","SKRUZDELIUKŲ","0","Nuo 5 iki 6 metų","36"
"2","BITUČIŲ","16","Nuo 6 iki 7 metų","36"
"5","BORUŽIUKAI","0","Nuo 4 iki 5 metų","36"
"7","DRUGELIAI","17","Nuo 3 iki 4 metų","36"
"8","NAUJA DARŽELIS","20","Nuo 3 iki 4 metų","36"
"22","Aitvariukų","0","Nuo 5 iki 6 metų","37"
"12","Ežiukų","16","Nuo 3 iki 7 metų","37"
"13","Žvirbliukų","0","Nuo 4 iki 5 metų","37"
"16","Gandriukų","2","Nuo 6 iki 7 metų","37"
"17","Pelėdžiukai","7","Nuo 6 iki 7 metų","37"
"18","Boružėlių","0","Nuo 5 iki 6 metų","37"
"23","Šokliukų","0","Nuo 3 iki 4 metų","37"
"24","Drugelių","20","Nuo 3 iki 4 metų","37"
"31","Kiškučių","0","Nuo 3 iki 7 metų","37"
