ID;LABEL;"LEFT(ADDRESS, 256)";SCHOOLNO;WWW;SCHOOL_TYPE;BUILDDATE;REGION_TYPE;ELDERATE_ID;GIS_X;GIS_Y
140;Žvangutis;"Rinktinės g. 38A, Vilnius";190017833;;1;1987-12-12;;1;582825;6063129
139;Žuvėdra;"Parko g. 8A, Vilnius";190017648;;1;1961-01-01;;14;591153;6062362
138;Žolynėlis;"Žolyno g. 44, Vilnius";190023163;;3;1975-06-27;;13;586289;6064326
388;Žolynas;"Žolyno g. 45A, Vilnius";304221230;;8;2016-04-24;;13;0;0
141;Žirniukas;"Verkių g. 17, Vilnius";190018892;;1;1964-03-14;;1;582987;6064149
159;Žirmūnėliai;"Žirmūnų g. 13, Vilnius";290020620;;1;1996-01-01;;1;584179;6064686
137;Žiogelis;"J. Kolaso g. 15, Vilnius";190013774;;1;1961-01-01;;14;587518;6060127
135;Žilvitis;"Viršuliškių g. 9, Vilnius";190022823;;1;2014-03-01;;9;579066;6064823
136;Žilvinėlis;"Taikos g. 130, Vilnius";190015825;;1;1986-02-06;;8;578345;6065108
134;Žiedas;"Žemynos g. 41, Vilnius";190032212;;1;1998-11-12;;7;579182;6066420
133;Žibutė;"Architektų g. 62, Vilnius";290023730;;1;1992-01-21;;11;578099;6060142
151;Žiburėlis;"Laisvės pr. 46, Vilnius";290028510;;1;1992-01-21;;10;578464;6063037
132;Žemuogėlė;"Architektų g. 108, Vilnius";290011190;;1;2013-03-13;;11;577330;6060702
131;Žemyna;"Žemynos g. 13, Vilnius";190032027;;1;1111-11-11;;7;579220;6066005
130;Želmenėliai;"Šaltkalvių g. 30, Vilnius";190023359;;1;2013-11-13;;19;581955;6058911
171;Žaliakalnio;"Pergalės g. 22, LT-11203 Vilnius";191713231;;1;2013-11-01;;14;591084;6062066
129;Zylutė;"Justiniškių g. 45, Vilnius";190029198;;1;1981-04-21;;9;578692;6063900
127;Voveraitė;"Jūratės g. 4A, Vilnius";190012868;;1;1960-01-01;;13;584798;6063154
181;Volungė;"Volungės g. 10, Vilnius";191713046;;1;1961-01-01;;13;585007;6063735
316;"VMSA testuojamas pensionas";"Baltasis Skersgatvis 3, Vilnius 01207";190997946;www.dcsviesa.lt;4;1992-09-22;;16;584087;6061388
315;"VMSA testuojamas darželis";"Konstitucijos pr. 3, Vilnius";1;;1;2009-10-09;;3;582468;6062868
167;Viltis;"I. Šimulionio g. 6, Vilnius";190034188;;3;1960-01-01;;1111;578819;6062722
126;Viltenė;"Gerosios Vilties g. 7A, Vilnius";190014538;;1;1996-01-06;;18;580171;6059971
