ID;LABEL;"LEFT(ADDRESS, 256)";SCHOOLNO;WWW;SCHOOL_TYPE;BUILDDATE;REGION_TYPE;ELDERATE_ID;GIS_X;GIS_Y
599;"_Biržų r. Testinis Darželis";"Testuotina g. 92";0;;1;2017-12-11;;0;0;0
140;Žvangutis;"Rinktinės g. 38A";190017833;;1;1987-12-12;;3;6063137;582826
139;Žuvėdra;"Parko g. 8A";190017648;;1;1961-01-01;;14;6062362;591153
138;Žolynėlis;"Žolyno g. 44";190023163;;3;1975-06-27;;13;6064324;586286
388;Žolynas;"Žolyno g. 45A";304221230;;8;2016-04-24;;13;6064325;586025
141;Žirniukas;"Verkių g. 17";190018892;;1;1964-03-14;;2;6064137;582995
159;Žirmūnėliai;"Žirmūnų g. 13";290020620;;1;1996-01-01;;2;6064686;584179
137;Žiogelis;"J. Kolaso g. 15";190013774;;1;1961-01-01;;14;6060159;587527
135;Žilvitis;"Viršuliškių g. 9";190022823;;1;2014-03-01;;9;6064823;579066
136;Žilvinėlio;"Taikos g. 130";190015825;;1;1986-02-06;;8;6065108;578345
134;Žiedas;"Žemynos g. 41";190032212;"dir.mob. 867745567";1;1998-11-12;;7;6066420;579182
133;Žibutė;"Architektų g. 62";290023730;;1;1992-01-21;;11;6060142;578099
151;Žiburėlis;"Laisvės pr. 46";290028510;;1;1992-01-21;;10;6063037;578464
132;Žemuogėlė;"Architektų g. 108";290011190;;1;2013-03-13;;11;6060702;577330
131;Žemyna;"Žemynos g. 13";190032027;;1;1111-11-11;;7;6066005;579220
130;Želmenėliai;"Šaltkalvių g. 30";190023359;;1;2013-11-13;;19;6058911;581955
171;Žaliakalnio;"Pergalės g. 22";191713231;;1;2013-11-01;;14;6062066;591084
129;Zylutė;"Justiniškių g. 45";190029198;;1;1981-04-21;;9;6063900;578692
582;"VšĮ Žaliasis Valdorfo darželis";"Pūčkorių g. 13";304072060;;2;2017-07-31;;1111;6062237;587611
555;"VšĮ Vilniaus nevalstybinis vaikų lopšelis-darželis &quot;Rudnosiukas&quot;";"Rūko g. 19A, Vilnius";302919286;http://www.rudnosiukas.eu/;2;2017-07-31;;1111;0;0
532;"VšĮ Vilniaus inžinerijos ir technologijų licėjus";"Žemuogių g. 10";302562877;http://www.manodarzelis.lt;2;2017-07-27;;1111;6068272;582061
724;"VŠĮ vedinis vaikų darželis „Dvaraka“";"Vinco Krėvės g.8, Vilnius";304764190;;2;1987-12-12;;11;0;0
726;"VšĮ vaikų priežiūros centras „Pėdutės“";"Nemenčinės pl. 12A, LT 10102 Vilnius";304974491;;2;1960-01-01;;13;0;0
629;"VšĮ Vaiko šypsena";"Algimanto Petro Kavoliuko g. 2A";302620362;;2;2017-12-01;;1111;6063164;578127
655;"VšĮ Upės pradinė mokykla";"Rato g. 71";304446323;;2;2017-12-01;;1111;6067623;583244
584;"VšĮ Tėvystės centras";"Dailidžių g. 42";302538698;www.prieraisiojitevyste.lt;2;2017-07-31;;1111;6062090;584817
658;"VŠĮ Teisinių inovacijų centras";"Balžio g. 39C";303483055;;2;2017-12-01;;1111;6073710;592853
628;"VšĮ Tarptautinė Amerikos mokykla Vilniuje";"Subačiaus g. 41";111968960;;2;2017-12-01;;1111;6060804;583844
531;"VšĮ Švietimo ir ugdymo centras";"Rinktinės g. 26";302553262;;2;2017-07-27;;1111;6062861;583015
558;"VšĮ Šviesos slėnis";"Kalvarijų Sodų 6-oji g. 21";302848953;http://www.sviesos-slenis.lt/;2;2017-07-31;;1111;6067164;582611
603;"VšĮ Šiaurės licėjus";"Vytauto g. 1";303960460;www.siaureslicejus.lt;2;2017-12-01;;1111;6061839;580978
664;"VŠĮ Svajonių darželis";"Gelvonų g. 23";304034387;;2;2017-12-01;;1111;6065269;581209
649;"VšĮ Smėlio pilys";"Skersinės Sodų 7-oji g. 15";304215373;;2;2017-12-01;;1111;6070714;581986
677;"VŠĮ Skruzdėliukų kiemas";"Stalupėnų g. 30, Vilnius";304794244;;2;1986-10-26;;12;0;0
633;"VšĮ Saulės privati gimnazija";"Viršuliškių g. 103";191672717;;2;2017-12-01;;1111;6063808;579613
567;"VŠĮ Sarmatika";"Antakalnio g. 22B";303162505;http://www.baltusalele.lt;2;2017-07-31;;1111;6063157;584332
560;"VšĮ Pupų pėdelis";"Vydūno g. 17-28, Vilnius.";303053648;http://www.pupu.lt;2;2017-07-31;;1111;0;0
566;"VšĮ privatus darželis ""Jorė""";"Garvežių g. 15";303168248;http://www.darzelisjore.lt;2;2017-07-31;;1111;6059249;581628
624;"VšĮ Pal. J. Matulaičio šeimos pagalbos centras";"Šeškinės g. 65";126366917;;2;2017-12-01;;1111;6065090;580035
659;"VšĮ Naujųjų vaikų gojus";"Gervių g. 17";304353488;;2;2017-12-01;;1111;6063320;580303
675;"VŠĮ Mūsų abėcėlė";"Gurių g. 127A, Vilnius";304836405;;2;1986-10-26;;14;0;0
662;"VŠĮ Mokymosi namai „Patirčių slėnis“";"Birutės g. 16, Trakai";304552294;;2;2017-12-01;;1111;0;0
10195;"VŠĮ Mokymo centras „Neozebra“";"Žvejų g. 14A";304536596;;2;2019-06-03;;3;0;0
10203;"VšĮ Mįsliaus Dirbtuvės";"Kazimiero Jelskio g. 53";305237472;www.misliausdirbtuves.lt;2;2019-08-27;;1111;6061326;579069
660;"VŠĮ Melkio mokykla";"A.Giedraičio g. 124, Melkio k.,Vilniaus r.";303359698;;2;2017-12-01;;1111;0;0
673;"VŠĮ Mažoji karalystė";"Kęstučio g. 1-6, Vilnius";304746121;;2;1986-10-26;;6;0;0
642;"VŠĮ Mažyliai";"Kolektyvo g. 24";304292081;;2;2017-12-01;;1111;6065874;582210
674;"VŠĮ Mažieji šnekoriai";"M. Indriliūno g. 31";302659696;;2;1986-10-26;;1;6068559;580205
652;"VŠĮ Mano abėcėlė";"Gurių g. 127A";304517642;;2;2017-12-01;;1111;6058182;585769
580;"VšĮ Lauko darželis";"Verkių g. 25A";303296205;http://laukodarzelis.lt;2;2017-07-31;;1111;6064411;583121
572;"VšĮ Krikščioniškas vaikų darželis";"Vydūno g. 20";302848907;http://www.ref.lt/index.php/krikscioniskas-darzelis;2;2017-07-31;;1111;6064152;575757
661;"Všį Koriuko vaikai (Gabijos g. 38)";"Papilėnų g. 17";304219546;;2;2017-12-01;;1111;6064122;576441
592;"VšĮ Koriuko namai (Gabijos g. 38)";"Gabijos g. 38";303462506;www.koriuko.lt;2;2017-07-31;;1111;6067336;578890
545;"VšĮ Katalikiškas vaikų darželis ""MAŽUTĖLIAMS""";"Kalvarijų g. 331";302576752;http://www.mazuteliams.lt;2;2017-07-27;;1111;6067771;582330
513;"Všį Karalių pasaka";"Vakaro g. 6-1, Vilnius";300670377;;2;2017-07-27;;1111;0;0
665;"VŠĮ Kaladėlių miestelis";"Eišiškių Sodų 6-oji g. 6";304140305;;2;2017-12-01;;1111;6055062;580746
636;"VŠĮ Idėjų labirintas";"Žirmūnų g. 79";304208375;;2;2017-12-01;;1111;6065329;584130
621;"VšĮ I. Lauciuvienės darželis mokykla „Dūzginėlio bitutės“";"L. Giros g. 44";195474138;;2;2017-12-01;;1111;6067194;580374
557;"VšĮ Geniukas";"Bijūnų g. 16";302991855;http://geniukas.lt/;2;2017-07-31;;1111;6059543;578698
10197;"VšĮ Gedimino miesto mokykla";"Mildos g. 6";304925206;;2;2019-08-01;;13;6062984;584579
559;"VšĮ Euro darželis";"Eitminų g. 16";303003691;http://www.eurodarzelis.lt;2;2017-07-31;;1111;6067763;578525
537;"VšĮ DUKU";"Šeškinės g. 65";302297941;;2;2017-07-27;;1111;6065090;580035
535;"VšĮ Dienos centras &quot;Boružėlės&quot;";"Fizikų g. 3";302498613;http://www.boruzeles.lt/;2;2017-07-27;;1111;6069641;581529
604;"VšĮ Demokratinė mokykla";"Moksleivių g. 4";303524897;www.demokratinemokykla.lt;2;2017-12-01;;1111;6054806;576378
534;"VšĮ Bajorų vaikų lopšelis-darželis ""Šypsenėlė""";"Antano Gelgaudo g. 24";302571221;http://www.bajorudarzelis.lt/;2;2017-07-27;;1111;6068704;579170
541;"VšĮ &quot;Zebriukas&quot;";"Laisvės pr. 121";302544815;http://zebriukodarzelis.lt;2;2017-07-27;;1111;6066265;579753
538;"VšĮ &quot;Vilniaus Montessori&quot;";"Naujakurių g. 29";302442881;http://www.vms.lt;2;2017-07-27;;1111;6065515;585449
571;"VšĮ &quot;Varniukai&quot;";"Stasio Krasausko g. 11";302676756;http://darzelisvarniukai.wix.com/darzelisvarniukai;2;2017-07-31;;1111;6057129;570308
548;"Všį &quot;Vaiko medis&quot;";"M. K. Čiurlionio g. 44";302637276;http://www.vaikomedis.lt;2;2017-07-27;;1111;6061298;581270
591;"VšĮ &quot;Vaikystės vėjas&quot;";"Didlaukio g. 88";304078921;www.isdykes-vejas.lt;2;2017-07-31;;1111;6066498;581517
596;"VšĮ &quot;Vaikystės takas&quot; (Traidenio g. 34)";"Traidenio g. 34";302557111;;2;2017-08-01;;1111;6062283;580547
574;"VšĮ &quot;Po saule&quot;";"Kalvarijų g. 290";303901864;www.po-saule.lt;2;2017-07-31;;1111;6066994;582309
530;"VšĮ &quot;Mėnulio vaikai&quot;";"Šermukšnių g. 4B";302498264;http://www.menuliovaikai.lt;2;2017-07-27;;1111;6062295;582163
561;"VŠĮ &quot;Mamos Delne&quot;";"Kolektyvo g. 236";303013956;http://www.mamosdelne.lt;2;2017-07-31;;1111;6065414;581947
583;"VšĮ &quot;Bitės lingo&quot;";"Žirmūnų g. 35";302588288;www.bitelingo.lt;2;2017-07-31;;1111;6064852;584311
585;"VšĮ &quot;Bebenčiai&quot;";"Garsioji g. 17A";302699203;;2;2017-07-31;;1111;6059651;587564
539;"VšĮ &quot;Balsių darželis&quot;";"Vilkynės g. 40";302593755;http://www.balsiudarzelis.lt/;2;2017-07-27;;1111;6071725;588183
