Darželis;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
"_VMSA test";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aitvaras;0;0;161;163;0;0;104;92;84;73;94;0;0;66;78;79;83;91;0;0;91;80;83;90;112;0;0;77;68;75
Atžalėlės;0;0;144;143;0;0;49;40;42;50;64;0;0;53;60;58;73;92;0;0;97;92;102;114;127;0;0;102;95;99
Aušrelė;0;0;101;108;0;0;44;41;38;40;54;0;0;40;43;42;43;62;0;0;58;55;59;55;85;0;0;91;88;81
Beržynėlis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/Bildukas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Birutės;0;0;39;42;0;0;19;14;17;18;23;0;0;23;18;17;23;27;0;0;34;31;31;30;37;0;0;32;33;30
Bitutė;0;0;136;149;0;0;64;60;68;59;75;0;0;67;55;62;73;100;0;0;90;84;87;87;106;0;0;91;77;75
Coliukė;0;0;53;54;0;0;37;33;32;31;40;0;0;42;36;36;44;45;0;0;54;49;49;44;62;0;0;58;62;61
Čiauškutis;0;0;35;35;0;0;33;28;26;28;38;0;0;33;34;37;41;52;0;0;44;35;42;47;52;0;0;44;38;40
Daigelis;0;0;81;90;0;0;42;46;42;47;62;0;0;54;54;43;56;69;0;0;68;62;65;61;66;0;0;60;68;74
Delfinukas;0;0;98;95;0;0;52;58;54;55;73;0;0;79;71;82;81;96;0;0;109;113;121;123;136;0;0;117;102;102
/Dobilėlis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Drevinukas;0;0;67;70;0;0;33;25;25;29;40;0;0;40;33;43;47;51;0;0;57;55;58;62;68;0;0;71;62;67
Drugelis;0;0;61;60;0;0;29;31;23;25;29;0;0;31;32;33;36;49;0;0;40;36;40;44;47;0;0;48;48;44
"Du gaideliai";0;0;45;44;0;0;29;26;23;23;34;0;0;24;21;22;33;35;0;0;36;32;31;29;37;0;0;36;28;33
Eglutė;0;0;150;151;0;0;64;63;62;66;74;0;0;67;69;76;81;106;0;0;91;96;97;110;132;0;0;88;85;90
/Aušrinė;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gandriukas;0;0;122;122;0;0;62;56;52;60;82;0;0;71;71;73;73;88;0;0;109;108;102;98;119;0;0;105;92;92
"Geniukų kalvė";0;0;117;110;0;0;43;41;38;34;42;0;0;36;38;35;44;56;0;0;68;63;58;62;79;0;0;91;81;79
Gelvonėlis;0;0;93;92;0;0;42;37;36;46;52;0;0;42;47;39;43;65;0;0;55;52;50;63;90;0;0;81;87;86
"Gervelė (Dzūkų g. 32)";0;0;63;65;0;0;29;35;33;36;43;0;0;35;40;39;44;48;0;0;46;39;45;50;58;0;0;56;58;60
"Gilužis (Vydūno g. 11A)";0;0;164;172;0;0;71;73;62;58;71;0;0;49;49;46;47;67;0;0;54;50;65;68;93;0;0;99;82;87
"Gintarėlis (Didlaukio g. 35)";0;0;188;193;0;0;61;57;66;78;86;0;0;86;83;84;77;109;0;0;98;94;100;100;133;0;0;96;92;101
Giraitė;0;0;95;98;0;0;53;49;45;48;68;0;0;56;51;50;57;81;0;0;92;92;91;97;109;0;0;93;85;88
Gudrutis;0;0;77;78;0;0;40;41;41;41;49;0;0;35;36;35;35;36;0;0;33;31;31;38;36;0;0;34;23;27
Jovarėlis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jurginėlis;0;0;137;147;0;0;86;73;80;74;87;0;0;70;71;77;77;93;0;0;84;78;81;99;100;0;0;97;97;104
Karuselė;0;0;126;126;0;0;72;53;66;68;75;0;0;78;94;90;93;107;0;0;99;87;88;93;112;0;0;107;90;90
Kaštonas;0;0;60;59;0;0;39;34;38;33;56;0;0;47;49;48;51;50;0;0;58;56;50;54;53;0;0;44;46;43
"Krivūlė (Lydos g. 5)";0;0;68;73;0;0;30;35;33;32;35;0;0;25;27;38;38;51;0;0;53;52;56;55;63;0;0;54;48;48
"Kodėlčiukas (Laisvės pr. 59)";0;0;151;151;0;0;59;54;47;52;84;0;0;55;49;53;67;96;0;0;105;110;117;122;132;0;0;107;114;116
/Klevelis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kurpaitė;0;0;44;45;0;0;16;20;17;19;21;0;0;7;11;14;11;18;0;0;20;27;30;31;38;0;0;24;22;25
"Kūlverstukas (Suvalkų g. 6)";0;0;25;23;0;0;20;17;13;14;20;0;0;20;17;18;18;21;0;0;18;17;25;25;33;0;0;34;36;41
Lakštingala;0;0;126;122;0;0;63;60;59;51;71;0;0;60;63;69;73;93;0;0;78;77;78;80;90;0;0;98;94;99
Lašelis;0;0;40;43;0;0;31;29;31;33;40;0;0;40;43;43;43;48;0;0;42;38;39;50;63;0;0;57;50;58
Lazdynėlis;0;0;102;109;0;0;54;50;48;56;56;0;0;56;58;62;66;88;0;0;74;73;76;76;95;0;0;72;75;75
Liepsnelė;0;0;62;64;0;0;43;37;41;46;57;0;0;44;50;49;53;62;0;0;66;65;62;69;82;0;0;76;79;80
/Linelis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Lokiuko giraitė";0;0;121;133;0;0;74;70;79;79;92;0;0;87;80;82;87;106;0;0;98;89;87;85;101;0;0;102;106;111
Markučiai;0;0;107;108;0;0;50;55;67;58;71;0;0;66;59;67;64;74;0;0;86;84;88;97;110;0;0;85;88;94
Mažylis;0;0;63;61;0;0;31;28;28;29;29;0;0;20;18;20;22;32;0;0;40;46;48;49;59;0;0;44;34;36
Medynėlis;0;0;187;199;0;0;98;101;106;101;127;0;0;118;119;130;135;170;0;0;160;141;147;143;171;0;0;152;151;158
Molinukas;0;0;67;63;0;0;38;33;41;38;49;0;0;47;43;36;41;51;0;0;45;45;56;70;75;0;0;81;74;71
"Naminukas (Smėlio g. 13)";0;0;46;49;0;0;18;19;14;22;24;0;0;18;24;26;25;34;0;0;27;23;25;29;38;0;0;39;33;34
/Neries;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nykštukas;0;0;129;131;0;0;59;48;51;58;68;0;0;80;77;83;92;107;0;0;127;125;133;138;146;0;0;117;112;105
Ozas;0;0;153;161;0;0;89;87;92;92;110;0;0;97;96;100;105;121;0;0;117;117;122;120;132;0;0;99;98;94
Pabiručiai;0;0;130;129;0;0;57;57;56;68;79;0;0;62;65;68;70;91;0;0;86;83;82;91;111;0;0;80;73;61
"Pagrandukas (Mindaugo g.)";0;0;46;44;0;0;24;24;31;29;41;0;0;32;28;36;59;66;0;0;40;28;24;30;37;0;0;44;52;54
Pakalnutė;0;0;117;125;0;0;64;58;55;59;69;0;0;48;46;51;54;66;0;0;60;66;75;77;90;0;0;83;87;80
Panerių;0;0;27;30;0;0;21;20;22;23;19;0;0;16;21;21;25;29;0;0;27;22;22;20;25;0;0;15;11;10
Papartis;0;0;123;121;0;0;72;69;56;60;80;0;0;65;59;61;64;89;0;0;104;109;110;108;124;0;0;117;120;110
/Pasagėlė;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pasaka;0;0;124;130;0;0;52;45;48;52;69;0;0;54;52;52;53;73;0;0;66;64;62;75;81;0;0;67;60;58
Paslaptis;0;0;22;25;0;0;14;14;16;22;18;0;0;20;15;13;17;23;0;0;14;15;17;15;25;0;0;21;22;22
Pasakaitė;0;0;132;129;0;0;71;65;62;53;71;0;0;51;48;52;59;83;0;0;73;76;77;75;93;0;0;67;64;60
Pelėda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pelenė;0;0;111;111;0;0;42;44;48;52;65;0;0;68;73;74;83;102;0;0;111;115;119;121;132;0;0;88;85;85
Pipiras;0;0;103;108;0;0;75;70;61;74;80;0;0;82;84;85;90;102;0;0;108;92;87;94;119;0;0;82;74;69
"Prie pasakų parko";0;0;68;76;0;0;43;34;36;39;53;0;0;37;30;34;41;54;0;0;45;47;55;51;68;0;0;59;62;66
"Pumpurėlis (Kalvarijų g. 186)";0;0;131;138;0;0;75;69;65;60;59;0;0;80;76;87;84;105;0;0;96;96;101;103;126;0;0;100;98;107
Puriena;0;0;117;123;0;0;76;72;79;83;95;0;0;70;62;67;66;74;0;0;79;81;87;88;104;0;0;103;102;105
Pušaitė;0;0;115;109;0;0;54;50;47;49;62;0;0;78;77;75;82;102;0;0;99;106;119;121;138;0;0;128;129;113
"Pušynėlis (Miglos g. 53)";0;0;39;45;0;0;23;25;22;26;28;0;0;25;22;20;27;33;0;0;37;36;33;36;43;0;0;32;30;28
Raktelis;0;0;87;93;0;0;46;42;46;54;71;0;0;74;56;56;66;81;0;0;70;75;77;78;89;0;0;84;81;78
Rasa;0;0;138;144;0;0;55;62;50;58;75;0;0;63;67;74;83;112;0;0;113;108;115;123;131;0;0;114;110;111
Rugelis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Riešutėlis;0;0;140;137;0;0;79;75;68;60;82;0;0;89;93;103;103;122;0;0;101;106;104;98;125;0;0;91;82;82
Rytas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ramunėlė;0;0;134;130;0;0;72;74;63;69;95;0;0;78;75;74;71;85;0;0;83;83;74;78;100;0;0;85;80;81
Rūta;0;0;89;91;0;0;39;43;46;51;59;0;0;50;48;44;50;69;0;0;83;73;82;79;98;0;0;66;54;64
Sadutė;0;0;61;59;0;0;15;13;16;18;32;0;0;38;36;42;43;47;0;0;51;38;41;40;45;0;0;34;27;27
Sakalėlis;0;0;118;126;0;0;59;50;52;51;51;0;0;72;78;78;93;110;0;0;120;115;117;115;121;0;0;87;78;63
Salininkų;0;0;72;72;0;0;40;45;37;45;38;0;0;51;46;51;56;58;0;0;58;58;59;56;60;0;0;53;51;48
Salvija;0;0;19;19;0;0;8;8;9;11;15;0;0;14;13;12;12;16;0;0;20;16;20;17;17;0;0;13;13;15
Saulėtekis;0;0;143;141;0;0;82;69;67;81;91;0;0;83;78;80;82;93;0;0;99;99;103;101;115;0;0;108;108;103
Skroblinukas;0;0;103;111;0;0;71;69;68;69;78;0;0;62;64;74;78;90;0;0;72;68;69;72;79;0;0;59;58;55
Smalsučiai;0;0;126;132;0;0;68;66;69;63;81;0;0;71;71;69;70;88;0;0;87;77;73;76;94;0;0;66;63;69
/Spindulėlis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spragtukas;0;0;118;124;0;0;71;58;56;64;81;0;0;60;57;49;56;71;0;0;67;62;64;68;81;0;0;89;85;87
Strazdelis;0;0;175;177;0;0;83;80;84;79;105;0;0;89;81;87;88;127;0;0;115;120;124;125;143;0;0;103;104;112
Sveikuolis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Šermukšnėlė;0;0;128;130;0;0;64;60;55;61;83;0;0;87;84;88;97;106;0;0;91;97;99;115;130;0;0;105;107;98
Šypsena;0;0;32;40;0;0;31;27;19;22;24;0;0;15;17;21;24;30;0;0;46;44;47;49;51;0;0;52;49;48
Šnekutis;0;0;53;54;0;0;30;27;25;23;30;0;0;26;28;29;37;44;0;0;47;38;38;44;52;0;0;49;50;48
Užupiukas;0;0;154;154;0;0;67;62;67;70;91;0;0;82;80;87;90;108;0;0;90;95;92;94;119;0;0;103;91;88
Vaidilutė;0;0;127;123;0;0;56;57;57;52;65;0;0;61;51;49;61;74;0;0;80;67;69;80;95;0;0;74;69;67
Vandenis;0;0;168;177;0;0;94;76;79;78;105;0;0;97;84;94;87;111;0;0;92;97;94;96;124;0;0;117;117;134
Varpelis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vėjelis (Gabijos g. 21)";0;0;134;130;0;0;69;62;56;68;77;0;0;67;64;64;72;87;0;0;86;85;84;102;116;0;0;93;89;85
Vėtrungė;0;0;127;131;0;0;58;63;54;57;65;0;0;56;52;53;65;78;0;0;64;54;61;71;89;0;0;100;97;99
Vilnelė;0;0;128;126;0;0;64;60;55;61;76;0;0;69;68;65;82;112;0;0;89;92;90;95;119;0;0;110;102;100
Vėrinėlis;0;0;134;133;0;0;74;69;62;69;84;0;0;81;91;85;95;109;0;0;103;94;84;89;108;0;0;79;75;76
Viltenė;0;0;77;79;0;0;51;54;59;54;53;0;0;53;57;59;59;82;0;0;75;73;72;68;83;0;0;72;67;65
Voveraitė;0;0;133;136;0;0;69;73;59;67;80;0;0;81;86;81;84;108;0;0;99;96;99;100;125;0;0;112;99;99
"Trakų Vokės";0;0;48;46;0;0;24;23;21;20;32;0;0;36;31;33;34;35;0;0;42;43;46;49;47;0;0;44;43;39
Zylutė;0;0;111;113;0;0;62;65;66;67;81;0;0;81;78;81;81;98;0;0;84;78;81;84;101;0;0;86;78;78
Želmenėliai;0;0;123;123;0;0;59;54;54;58;77;0;0;55;54;65;62;79;0;0;77;79;89;106;119;0;0;98;91;88
Žemyna;0;0;174;169;0;0;67;63;54;68;74;0;0;66;75;73;86;115;0;0;113;128;137;128;142;0;0;117;107;114
Žemuogėlė;0;0;114;118;0;0;68;59;50;64;76;0;0;78;70;74;78;98;0;0;90;83;79;81;95;0;0;80;70;66
Žibutė;0;0;61;61;0;0;38;39;34;27;37;0;0;31;29;31;34;48;0;0;50;45;51;41;56;0;0;31;30;32
Žiedas;0;0;182;180;0;0;70;61;65;54;75;0;0;91;87;85;97;116;0;0;89;84;82;86;106;0;0;103;99;100
Žilvitis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Žilvinėlio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Žiogelis;0;0;152;146;0;0;80;72;77;78;91;0;0;83;80;79;85;104;0;0;125;128;134;141;150;0;0;126;120;113
Žolynėlis;0;0;60;59;0;0;34;34;32;40;45;0;0;39;45;44;48;51;0;0;61;59;56;56;70;0;0;66;65;69
Žuvėdra;0;0;46;45;0;0;26;18;21;21;31;0;0;38;41;39;36;45;0;0;45;48;39;43;51;0;0;33;28;31
Žvangutis;0;0;69;73;0;0;37;36;38;37;39;0;0;37;30;31;38;47;0;0;41;38;43;64;70;0;0;65;68;67
Žirniukas;0;0;78;87;0;0;41;39;43;42;49;0;0;48;53;61;65;74;0;0;65;74;70;64;78;0;0;83;76;79
Aušros;0;0;256;252;0;0;73;67;71;67;81;0;0;66;65;60;70;91;0;0;79;74;78;78;100;0;0;78;80;75
Berželis;0;0;111;120;0;0;55;49;57;58;71;0;0;62;61;52;66;86;0;0;70;74;85;79;112;0;0;100;102;107
Pelėdžiukas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saulutė;0;0;253;259;0;0;101;92;83;85;86;0;0;73;74;75;87;103;0;0;106;107;112;111;125;0;0;91;87;79
Svaja;0;0;274;272;0;0;39;33;37;135;51;0;0;46;49;45;44;54;0;0;67;67;67;70;101;0;0;95;96;85
Šilelis;0;0;109;118;0;0;57;54;55;57;64;0;0;63;56;49;62;84;0;0;84;83;79;91;107;0;0;105;108;111
Vaivorykštė;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vaduvos;0;0;144;146;0;0;46;38;45;43;55;0;0;50;50;62;57;72;0;0;67;71;65;68;80;0;0;75;73;75
Vilkpėdės;0;0;89;84;0;0;53;53;57;54;66;0;0;68;59;59;60;65;0;0;63;56;61;60;82;0;0;64;61;61
Žiburėlis;0;0;81;87;0;0;53;48;52;48;56;0;0;55;53;60;62;84;0;0;98;101;101;109;126;0;0;123;115;120
Justinukas;0;0;118;120;0;0;58;57;57;54;63;0;0;50;56;65;72;94;0;0;90;93;91;96;109;0;0;90;82;81
/Aidas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bangelė;0;0;92;96;0;0;59;51;63;55;62;0;0;68;71;62;81;93;0;0;104;97;97;97;108;0;0;94;88;81
Gėlynas;0;0;57;55;0;0;26;26;23;28;41;0;0;37;31;26;28;40;0;0;32;34;32;40;45;0;0;34;35;38
Obelėlė;0;0;123;121;0;0;63;58;62;52;62;0;0;59;61;63;57;74;0;0;83;85;75;79;93;0;0;98;85;102
Spygliukas;0;0;123;122;0;0;64;56;54;53;59;0;0;58;54;45;62;77;0;0;81;74;79;87;86;0;0;84;82;83
Vieversys;0;0;137;139;0;0;69;66;67;71;83;0;0;72;73;76;79;103;0;0;81;76;84;82;95;0;0;74;78;83
Žirmūnėliai;0;0;90;99;0;0;51;57;49;50;66;0;0;72;63;69;68;91;0;0;100;102;100;96;105;0;0;85;76;83
"Dainorėliai (Ankštoji g. 11)";0;0;137;138;0;0;15;10;16;21;19;0;0;14;17;15;19;27;0;0;32;32;29;36;41;0;0;28;32;32
Lokiukas;0;0;281;280;0;0;55;46;47;55;65;0;0;49;49;48;53;85;0;0;65;66;82;79;99;0;0;76;73;87
Šaltinėlis;0;0;223;221;0;0;49;45;40;46;50;0;0;46;37;48;40;62;0;0;75;73;55;63;84;0;0;84;86;75
Gabijėlė;0;0;235;248;0;0;110;95;98;101;124;0;0;109;109;117;114;144;0;0;138;141;135;152;181;0;0;145;141;145
Saulėgrąža;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pilaitukas (I. Kanto al. 7A)";0;0;161;162;0;0;101;92;86;92;98;0;0;101;94;97;99;120;0;0;128;128;130;132;143;0;0;119;115;122
