Mikrorajonas;"Darželio pavadinimas";Grupės;"Lankančių Vaikų skaičius";"*Laukiančiu eilėje vaikų skaičius";"Laisvų vietų";"Pagal kalbas"
;"Vilniaus Aleksandro Puškino mokykla";"Nuo 6 iki 7 metų";72;1;15;Ru
Antakalnio;Atžalėlės;"Nuo 1,5 iki 3 metų";65;23;0;Lt
Antakalnio;Atžalėlės;"Nuo 3 iki 4 metų";42;2;0;Lt
Antakalnio;Atžalėlės;"Nuo 3 iki 7 metų";23;1;0;Lt
Antakalnio;Atžalėlės;"Nuo 4 iki 5 metų";20;0;0;Lt
Antakalnio;Atžalėlės;"Nuo 5 iki 6 metų";27;0;0;Lt
Antakalnio;Atžalėlės;"Nuo 6 iki 7 metų";48;0;4;Lt
Antakalnio;Kaštonas;"Nuo 1,5 iki 3 metų";22;5;0;Ru
Antakalnio;Kaštonas;"Nuo 1,5 iki 3 metų";36;3;0;Pl
Antakalnio;Kaštonas;"Nuo 3 iki 5 metų";22;0;0;Lt
Antakalnio;Kaštonas;"Nuo 3 iki 6 metų";25;2;0;Ru
Antakalnio;Kaštonas;"Nuo 3 iki 5 metų";8;0;0;Pl
Antakalnio;Kaštonas;"Nuo 3 iki 6 metų";28;0;0;Pl
Antakalnio;Kaštonas;"Nuo 5 iki 7 metų";25;0;1;Lt
Antakalnio;Kaštonas;"Nuo 5 iki 7 metų";0;0;1;Pl
Antakalnio;Lakštingala;"Nuo 1,5 iki 3 metų";79;38;0;Lt
Antakalnio;Lakštingala;"Nuo 3 iki 4 metų";96;0;0;Lt
Antakalnio;Lakštingala;"Nuo 4 iki 5 metų";43;0;5;Lt
Antakalnio;Lakštingala;"Nuo 5 iki 6 metų";49;0;5;Lt
Antakalnio;Lakštingala;"Nuo 6 iki 7 metų";68;0;1;Lt
Antakalnio;Molinukas;"Nuo 1,5 iki 3 metų";50;18;0;Lt
Antakalnio;Molinukas;"Nuo 3 iki 4 metų";20;3;0;Lt
Antakalnio;Molinukas;"Nuo 4 iki 5 metų";20;4;0;Lt
Antakalnio;Molinukas;"Nuo 5 iki 6 metų";22;0;0;Lt
Antakalnio;Molinukas;"Nuo 6 iki 7 metų";29;5;0;Lt
Antakalnio;Naminukas;"Nuo 3 iki 4 metų";32;0;5;Lt
Antakalnio;Naminukas;"Nuo 4 iki 5 metų";22;1;0;Lt
Antakalnio;Naminukas;"Nuo 5 iki 6 metų";19;0;1;Lt
Antakalnio;Naminukas;"Nuo 6 iki 7 metų";19;0;4;Lt
Antakalnio;Pušaitė;"Nuo 1,5 iki 3 metų";112;18;0;Lt
Antakalnio;Pušaitė;"Nuo 3 iki 4 metų";44;0;0;Lt
Antakalnio;Pušaitė;"Nuo 3 iki 5 metų";0;0;0;Lt
Antakalnio;Pušaitė;"Nuo 4 iki 5 metų";46;0;0;Lt
Antakalnio;Pušaitė;"Nuo 5 iki 6 metų";47;0;0;Lt
Antakalnio;Pušaitė;"Nuo 6 iki 7 metų";64;1;0;Lt
Antakalnio;Spindulėlis;"Nuo 1,5 iki 3 metų";28;5;2;Lt
Antakalnio;Spindulėlis;"Nuo 3 iki 5 metų";24;0;0;Lt
Antakalnio;Spindulėlis;"Nuo 4 iki 6 metų";24;0;0;Lt
Antakalnio;Spindulėlis;"Nuo 5 iki 7 metų";19;0;6;Lt
Antakalnio;"Vilniaus Joachimo Lelevelio inžinerijos mokykla";"Nuo 5 iki 7 metų";14;0;0;Ru
Antakalnio;"Vilniaus Joachimo Lelevelio inžinerijos mokykla";"Nuo 5 iki 7 metų";26;0;0;Pl
Antakalnio;"Vilniaus Joachimo Lelevelio inžinerijos mokykla";"Nuo 6 iki 7 metų";14;1;1;Ru
Antakalnio;"Vilniaus Joachimo Lelevelio inžinerijos mokykla";"Nuo 6 iki 7 metų";10;0;5;Pl
Antakalnio;Volungė;"Nuo 1,5 iki 3 metų";31;11;0;Lt
Antakalnio;Volungė;"Nuo 3 iki 4 metų";57;0;9;Lt
Antakalnio;Volungė;"Nuo 4 iki 5 metų";21;0;9;Lt
Antakalnio;Volungė;"Nuo 5 iki 6 metų";43;2;0;Lt
Antakalnio;Volungė;"Nuo 6 iki 7 metų";35;0;3;Lt
Antakalnio;Voveraitė;"Nuo 1,5 iki 3 metų";64;15;0;Lt
Antakalnio;Voveraitė;"Nuo 3 iki 4 metų";58;0;18;Lt
Antakalnio;Voveraitė;"Nuo 4 iki 5 metų";62;0;10;Lt
Antakalnio;Voveraitė;"Nuo 5 iki 6 metų";40;0;4;Lt
Antakalnio;Voveraitė;"Nuo 5 iki 7 metų";17;0;0;Lt
Antakalnio;Voveraitė;"Nuo 6 iki 7 metų";41;0;1;Lt
Antakalnio;Žolynas;"Nuo 1,5 iki 3 metų";55;31;0;Lt
Antakalnio;Žolynas;"Nuo 3 iki 4 metų";22;2;0;Lt
Antakalnio;Žolynas;"Nuo 3 iki 5 metų";44;0;1;Lt
Antakalnio;Žolynas;"Nuo 5 iki 7 metų";42;0;0;Lt
Antakalnio;Žolynėlis;"Nuo 1,5 iki 3 metų";40;8;0;Lt
Antakalnio;Žolynėlis;"Nuo 1,5 iki 6 metų";6;0;1;Lt
Antakalnio;Žolynėlis;"Nuo 2 iki 5 metų";7;0;0;Lt
Antakalnio;Žolynėlis;"Nuo 3 iki 6 metų";7;0;1;Lt
Antakalnio;Žolynėlis;"Nuo 3 iki 5 metų";30;0;42;Lt
Antakalnio;Žolynėlis;"Nuo 4 iki 5 metų";18;0;0;Lt
Antakalnio;Žolynėlis;"Nuo 5 iki 6 metų";0;0;0;Lt
Antakalnio;Žolynėlis;"Nuo 6 iki 7 metų";22;0;1;Lt
Antakalnio;Žolynėlis;"Nuo 6 iki 8 metų";6;1;0;Lt
Fabijoniškių;Gandriukas;"Nuo 1,5 iki 3 metų";79;40;0;Lt
Fabijoniškių;Gandriukas;"Nuo 3 iki 4 metų";47;9;0;Lt
Fabijoniškių;Gandriukas;"Nuo 4 iki 5 metų";62;8;0;Lt
Fabijoniškių;Gandriukas;"Nuo 5 iki 6 metų";49;8;0;Lt
Fabijoniškių;Gandriukas;"Nuo 6 iki 7 metų";77;8;0;Lt
Fabijoniškių;Jovarėlis;"Nuo 1,5 iki 3 metų";50;32;0;Lt
Fabijoniškių;Jovarėlis;"Nuo 3 iki 4 metų";59;7;0;Lt
Fabijoniškių;Jovarėlis;"Nuo 4 iki 5 metų";56;8;0;Lt
Fabijoniškių;Jovarėlis;"Nuo 5 iki 6 metų";103;4;1;Lt
Fabijoniškių;Jovarėlis;"Nuo 6 iki 7 metų";65;0;0;Lt
Fabijoniškių;Karusėlė;"Nuo 1,5 iki 3 metų";66;12;0;Ru
Fabijoniškių;Karusėlė;"Nuo 3 iki 4 metų";7;0;0;Lt
Fabijoniškių;Karusėlė;"Nuo 3 iki 4 metų";28;8;0;Ru
Fabijoniškių;Karusėlė;"Nuo 3 iki 6 metų";21;0;0;Pl
Fabijoniškių;Karusėlė;"Nuo 4 iki 5 metų";22;3;0;Lt
Fabijoniškių;Karusėlė;"Nuo 4 iki 5 metų";25;0;0;Ru
Fabijoniškių;Karusėlė;"Nuo 4 iki 6 metų";21;2;0;Lt
Fabijoniškių;Karusėlė;"Nuo 5 iki 6 metų";20;0;0;Lt
Fabijoniškių;Karusėlė;"Nuo 5 iki 6 metų";25;0;0;Ru
Fabijoniškių;Karusėlė;"Nuo 6 iki 7 metų";25;0;0;Lt
Fabijoniškių;Karusėlė;"Nuo 6 iki 7 metų";20;0;0;Ru
Fabijoniškių;Sakalėlis;"Nuo 1,5 iki 3 metų";61;26;0;Lt
Fabijoniškių;Sakalėlis;"Nuo 3 iki 4 metų";71;5;0;Lt
Fabijoniškių;Sakalėlis;"Nuo 3 iki 6 metų";30;2;0;Lt
Fabijoniškių;Sakalėlis;"Nuo 4 iki 5 metų";22;2;0;Lt
Fabijoniškių;Sakalėlis;"Nuo 5 iki 6 metų";24;1;0;Lt
Fabijoniškių;Sakalėlis;"Nuo 6 iki 7 metų";46;5;0;Lt
Fabijoniškių;Vandenis;"Nuo 1,5 iki 3 metų";70;90;0;Lt
Fabijoniškių;Vandenis;"Nuo 3 iki 4 metų";116;20;0;Lt
Fabijoniškių;Vandenis;"Nuo 4 iki 5 metų";24;14;0;Lt
Fabijoniškių;Vandenis;"Nuo 5 iki 6 metų";64;8;0;Lt
Fabijoniškių;Vandenis;"Nuo 6 iki 7 metų";69;5;0;Lt
Fabijoniškių;Vėrinėlis;"Nuo 1,5 iki 3 metų";18;7;0;Lt
Fabijoniškių;Vėrinėlis;"Nuo 1,5 iki 3 metų";35;14;0;Ru
Fabijoniškių;Vėrinėlis;"Nuo 3 iki 4 metų";20;3;0;Lt
Fabijoniškių;Vėrinėlis;"Nuo 3 iki 4 metų";27;2;0;Ru
Fabijoniškių;Vėrinėlis;"Nuo 3 iki 4 metų";23;3;0;Pl
Fabijoniškių;Vėrinėlis;"Nuo 3 iki 5 metų";24;0;0;Pl
Fabijoniškių;Vėrinėlis;"Nuo 4 iki 5 metų";21;0;0;Lt
Fabijoniškių;Vėrinėlis;"Nuo 4 iki 5 metų";23;0;0;Ru
Fabijoniškių;Vėrinėlis;"Nuo 4 iki 6 metų";20;1;0;Lt
Fabijoniškių;Vėrinėlis;"Nuo 4 iki 6 metų";19;0;0;Ru
Fabijoniškių;Vėrinėlis;"Nuo 5 iki 7 metų";20;0;0;Lt
Fabijoniškių;Vėrinėlis;"Nuo 5 iki 7 metų";20;0;2;Ru
Fabijoniškių;Vėrinėlis;"Nuo 5 iki 7 metų";19;0;0;Pl
Fabijoniškių;"Vilniaus Ateities mokykla";"Nuo 6 iki 7 metų";41;0;14;Ru
Fabijoniškių;"Vilniaus Simono Stanevičiaus progimnazija";"Nuo 6 iki 7 metų";75;0;3;Lt
Grigiškių;"Lokiuko giraitė";"Nuo 1,5 iki 3 metų";86;16;0;Lt
Grigiškių;"Lokiuko giraitė";"Nuo 3 iki 4 metų";75;4;0;Lt
Grigiškių;"Lokiuko giraitė";"Nuo 4 iki 5 metų";45;0;0;Lt
Grigiškių;"Lokiuko giraitė";"Nuo 5 iki 6 metų";41;0;2;Lt
Grigiškių;"Lokiuko giraitė";"Nuo 6 iki 7 metų";59;0;0;Lt
Grigiškių;Pelėdžiukas;"Nuo 1,5 iki 3 metų";33;28;0;Lt
